endpoint,status,ms,bytes
/auth/me,200,63,145
/companies,200,309,196
/dashboard,200,1505,8774
/explorer/overview,200,766,3419
/explorer/tree,200,2244,1377629
/explorer/org-table,200,3657,224453
/explorer/standards,200,293,3443
/explorer/standards-flat,200,432,603385
/explorer/value-streams,200,5819,46587
/explorer/value-stream-adoption,200,763,2532
/roles,200,19655,823733
/roles/org-chart,200,131,89
/applications,200,8454,769078
/external-interactions,200,2087,11257
/work?tab=deliverables,200,12296,6050534
/work?tab=tasks,200,12687,6050534
/work-library/templates,200,337,18667
/portfolio/dashboard,200,553,4390
/portfolio/programs,200,347,6870
/portfolio/initiatives,200,482,12193
/portfolio/risk-bands,200,199,473
/rationalization,200,330,1676
/regulations/overview,200,396,5123
/regulations/jurisdictions,200,1144,31116
/regulations/federal,200,6212,31271
/regulations/international,200,725,67204
/regulations/requirements,200,2609,1049861
/standards-skills,200,2114,12833
/search?q=payroll,200,337,553
/audit?limit=200,200,290,49479
/admin/_meta,200,57,60406
